state_dimension_id,object_id,object_name,dimension_name,persistence_field,owner,initial_value,terminal_values,values
STATE-REF-001,OBJ-012,环境终端访问配置修订,immutable_revision.status,lifecycle_status,DOMAIN_AGGREGATE,DRAFT,ARCHIVED,DRAFT|VALIDATING|PUBLISHED|SUPERSEDED|RETIRED|ARCHIVED
SD-013-LIFECYCLE,OBJ-013,测试账号,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|CONFIGURING|VALIDATING|ACTIVE|CREDENTIAL_EXPIRED|DISABLED|RECOVERING|ARCHIVED
STATE-REF-002,OBJ-014,凭证版本,immutable_revision.status,lifecycle_status,DOMAIN_AGGREGATE,DRAFT,ARCHIVED,DRAFT|VALIDATING|PUBLISHED|SUPERSEDED|RETIRED|ARCHIVED
STATE-REF-003,OBJ-015,账号映射修订,immutable_revision.status,lifecycle_status,DOMAIN_AGGREGATE,DRAFT,ARCHIVED,DRAFT|VALIDATING|PUBLISHED|SUPERSEDED|RETIRED|ARCHIVED
SD-016-LIFECYCLE,OBJ-016,SSO身份,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-017-LIFECYCLE,OBJ-017,登录验证资格,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-018-LIFECYCLE,OBJ-018,数据类型,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-019-LIFECYCLE,OBJ-019,测试数据资源,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-020-LIFECYCLE,OBJ-020,数据操作任务,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-021-LIFECYCLE,OBJ-021,自然语言用例,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|CONVERSION_REQUESTED|EXPLORATION_REQUESTED|STRUCTURED_DRAFT_PRODUCED|ARCHIVED|LOGICALLY_DELETED
SD-022-LIFECYCLE,OBJ-022,标准结构用例,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|VALIDATING|READY|DISABLED|RECOVERING|ARCHIVED|LOGICALLY_DELETED
STATE-REF-004,OBJ-023,用例版本,immutable_revision.status,lifecycle_status,DOMAIN_AGGREGATE,DRAFT,ARCHIVED,DRAFT|VALIDATING|PUBLISHED|SUPERSEDED|RETIRED|ARCHIVED
SD-024-LIFECYCLE,OBJ-024,用例套件,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
STATE-REF-005,OBJ-025,业务流程模板,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-026-LIFECYCLE,OBJ-026,跨端编排,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-027-LIFECYCLE,OBJ-027,AI页面探索,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|VALIDATING|WAITING_RUNNER|PREPARING|EXPLORING|WAITING_CONFIRMATION|SUCCEEDED|FAILED|CANCELED|ABORTED|TIMED_OUT|RECOVERING|ARCHIVED
SD-028-LIFECYCLE,OBJ-028,结构转换,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,DEFINED,RETIRED,DEFINED|ACTIVE|DISABLED|RETIRED
SD-029-LIFECYCLE,OBJ-029,AI验证,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,DEFINED,RETIRED,DEFINED|ACTIVE|DISABLED|RETIRED
STATE-REF-006,OBJ-030,人工录制任务,manual_recording_task.status,status,DOMAIN_AGGREGATE,ASSIGNED,CANCELLED|COMPLETED|FAILED,ASSIGNED|CANCELLED|COMPLETED|CREATED|FAILED|PARTIAL|RECORDING
STATE-REF-007,OBJ-031,人工录制会话,manual_recording_session.status,status,DOMAIN_AGGREGATE,ABORTED,ABORTED|COMPLETED,ABORTED|ACTIVE|COMPLETED|CREATED|PARTIAL|PAUSED
SD-032-LIFECYCLE,OBJ-032,录制控制租约,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-033-LIFECYCLE,OBJ-033,录制证据包,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,COLLECTED,ARCHIVED,COLLECTED|UPLOAD_PENDING|UPLOADING|STORED|UPLOAD_FAILED|RETRYING|RETAINED|EXTENDED_RETENTION|HELD|CLEANUP_PENDING|CLEANED|ARCHIVED
SD-034-LIFECYCLE,OBJ-034,占位符,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,DEFINED,RETIRED,DEFINED|IN_USE|SUPERSEDED|RETIRED
SD-035-LIFECYCLE,OBJ-035,执行任务,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|SNAPSHOTTED|VALIDATING|WAITING_RESOURCE|DISPATCHING|PREPARING|RUNNING|RETRYING|CANCELING|ABORTING|EXCEPTION|RECOVERING|COMPLETED|REPORTING|ARCHIVED
STATE-REF-008,OBJ-036,执行尝试,execution_attempt.execution_status,execution_status,DOMAIN_AGGREGATE,ABORTED,ABORTED|CANCELLED|FAILED|SUCCEEDED,ABORTED|BROKEN|CANCELLED|FAILED|PRESTART_BLOCKED|READY|RUNNING|SUCCEEDED
STATE-REF-009,OBJ-036,执行尝试,execution_attempt.finalization_status,finalization_status,DOMAIN_AGGREGATE,COMPLETED,COMPLETED,COMPLETED|INITIAL|IN_PROGRESS|PENDING_RECOVERY
STATE-REF-010,OBJ-037,用例尝试,case_attempt.result_status,result_status,DOMAIN_AGGREGATE,BROKEN,CANCELLED|FAILED,BROKEN|CANCELLED|FAILED|PASSED|SKIPPED
SD-038-LIFECYCLE,OBJ-038,执行计划,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|DRAFT|VALIDATING|ACTIVE|TRIGGERED|PAUSED|DISABLED|RECOVERING|ARCHIVED
STATE-REF-011,OBJ-039,执行计划修订,immutable_revision.status,lifecycle_status,DOMAIN_AGGREGATE,DRAFT,ARCHIVED,DRAFT|VALIDATING|PUBLISHED|SUPERSEDED|RETIRED|ARCHIVED
SD-040-LIFECYCLE,OBJ-040,触发规则,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-041-LIFECYCLE,OBJ-041,派发决策,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-042-LIFECYCLE,OBJ-042,执行锁,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,REQUESTED,ARCHIVED,REQUESTED|WAITING|ACQUIRED|HELD|RENEWING|RELEASED|EXPIRED|REVOKED|RECOVERING|ARCHIVED
STATE-REF-012,OBJ-043,租约,lease.status,status,DOMAIN_AGGREGATE,ACTIVE,EXPIRED|FENCED|RELEASED,ACTIVE|EXPIRED|FENCED|RELEASED
SD-044-LIFECYCLE,OBJ-044,隔离令牌,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,DEFINED,RETIRED,DEFINED|IN_USE|SUPERSEDED|RETIRED
SD-045-LIFECYCLE,OBJ-045,重试策略,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,DEFINED,RETIRED,DEFINED|ACTIVE|DISABLED|RETIRED
SD-046-LIFECYCLE,OBJ-046,恢复动作,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,DEFINED,RETIRED,DEFINED|ACTIVE|DISABLED|RETIRED
STATE-REF-013,OBJ-047,自动化资产,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
STATE-REF-014,OBJ-048,登录策略,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
STATE-REF-015,OBJ-049,页面对象,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
STATE-REF-016,OBJ-050,动作资产,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
STATE-REF-017,OBJ-051,断言资产,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
STATE-REF-018,OBJ-052,Runner,runner.health_status,health_status,DOMAIN_AGGREGATE,DEGRADED,,DEGRADED|HEALTHY|OFFLINE|UNHEALTHY|UNKNOWN
STATE-REF-019,OBJ-052,Runner,runner.scheduling_status,scheduling_status,DOMAIN_AGGREGATE,DISABLED,,DISABLED|DRAINING|ENABLED
SD-053-LIFECYCLE,OBJ-053,Runner能力,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-054-LIFECYCLE,OBJ-054,Runner项目绑定,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-055-LIFECYCLE,OBJ-055,执行槽位,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-056-LIFECYCLE,OBJ-056,上下文变量,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-057-LIFECYCLE,OBJ-057,模型供应商,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,REGISTERED,RETIRED,REGISTERED|AVAILABLE|UNAVAILABLE|RECOVERING|RETIRED
SD-058-LIFECYCLE,OBJ-058,模型配置,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|CONFIGURING|VALIDATING|ACTIVE|DEGRADED|UNAVAILABLE|DISABLED|RECOVERING|ARCHIVED
STATE-REF-020,OBJ-059,Prompt修订,immutable_revision.status,lifecycle_status,DOMAIN_AGGREGATE,DRAFT,ARCHIVED,DRAFT|VALIDATING|PUBLISHED|SUPERSEDED|RETIRED|ARCHIVED
SD-060-LIFECYCLE,OBJ-060,AI调用,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|QUEUED|PREPARING|RUNNING|SUCCEEDED|FAILED|CANCELED|ABORTED|TIMED_OUT|EXCEPTION|RECOVERING|COMPLETED|ARCHIVED
STATE-REF-021,OBJ-061,AI任务,ai_task.status,status,DOMAIN_AGGREGATE,CANCELLED,CANCELLED|FAILED|SUCCEEDED,CANCELLED|CREATED|FAILED|QUEUED|RUNNING|SUCCEEDED|WAITING_HUMAN
STATE-REF-022,OBJ-062,AI结果,ai_result.status,status,DOMAIN_AGGREGATE,ACCEPTED,REJECTED|SUPERSEDED,ACCEPTED|CANDIDATE|INVALIDATED|REJECTED|RESTORED|SUPERSEDED
SD-063-LIFECYCLE,OBJ-063,人工决定,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-064-LIFECYCLE,OBJ-064,任务结果,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-065-LIFECYCLE,OBJ-065,用例结果,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
STATE-REF-023,OBJ-066,报告生成请求,report_request.status,status,DOMAIN_AGGREGATE,CANCELLED,CANCELLED|FAILED|SUCCEEDED,CANCELLED|FAILED|INITIAL|QUEUED|RUNNING|SUCCEEDED
STATE-REF-024,OBJ-067,测试报告,test_report.status,status,DOMAIN_AGGREGATE,COMPLETED,COMPLETED|FAILED|SUPERSEDED,COMPLETED|FAILED|GENERATING|SUPERSEDED
SD-068-LIFECYCLE,OBJ-068,测试制品,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,COLLECTED,ARCHIVED,COLLECTED|UPLOAD_PENDING|UPLOADING|STORED|UPLOAD_FAILED|RETRYING|RETAINED|EXTENDED_RETENTION|HELD|CLEANUP_PENDING|CLEANED|ARCHIVED
SD-069-LIFECYCLE,OBJ-069,技术告警,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-070-LIFECYCLE,OBJ-070,集成组件,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|CONFIGURING|VALIDATING|ACTIVE|DEGRADED|UNAVAILABLE|DISABLED|RECOVERING|ARCHIVED
SD-071-LIFECYCLE,OBJ-071,Adapter,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,DEFINED,RETIRED,DEFINED|ACTIVE|DISABLED|RETIRED
SD-072-LIFECYCLE,OBJ-072,平台技术事件,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|PUBLISH_PENDING|PUBLISHED|CONSUMED|ARCHIVED
SD-073-LIFECYCLE,OBJ-073,异常原因码,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,DEFINED,RETIRED,DEFINED|IN_USE|SUPERSEDED|RETIRED
SD-074-LIFECYCLE,OBJ-074,Secret,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,REGISTERED,RETIRED,REGISTERED|AVAILABLE|UNAVAILABLE|RECOVERING|RETIRED
SD-075-LIFECYCLE,OBJ-075,脱敏,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,DEFINED,RETIRED,DEFINED|ACTIVE|DISABLED|RETIRED
SD-076-LIFECYCLE,OBJ-076,系统参数,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-077-LIFECYCLE,OBJ-077,数据字典,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-078-LIFECYCLE,OBJ-078,配置快照,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CAPTURED,ARCHIVED,CAPTURED|SEALED|RETAINED|ARCHIVED
SD-079-LIFECYCLE,OBJ-079,审计日志,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CAPTURED,ARCHIVED,CAPTURED|SEALED|RETAINED|ARCHIVED
SD-080-LIFECYCLE,OBJ-080,事件链,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-081-LIFECYCLE,OBJ-081,保留策略,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,DRAFT,ARCHIVED,DRAFT|VALIDATING|PUBLISHED|SUPERSEDED|RETIRED|ARCHIVED
SD-082-LIFECYCLE,OBJ-082,保留冻结,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-083-LIFECYCLE,OBJ-083,受控清理请求,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|VALIDATING|CLEANUP_EXECUTING|SUCCEEDED|FAILED|CANCELED|ARCHIVED
SD-084-LIFECYCLE,OBJ-084,技术告警接入端点,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
STATE-REF-027,OBJ-086,AI候选修订,immutable_revision.status,lifecycle_status,DOMAIN_AGGREGATE,DRAFT,ARCHIVED,DRAFT|VALIDATING|PUBLISHED|SUPERSEDED|RETIRED|ARCHIVED
SD-087-LIFECYCLE,OBJ-087,角色绑定,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-088-LIFECYCLE,OBJ-088,技术告警接入批次,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|QUEUED|PREPARING|RUNNING|SUCCEEDED|FAILED|CANCELED|ABORTED|TIMED_OUT|EXCEPTION|RECOVERING|COMPLETED|ARCHIVED
SD-089-LIFECYCLE,OBJ-089,Runner Agent,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-090-LIFECYCLE,OBJ-090,Runner执行机,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,REGISTERED,RETIRED,REGISTERED|AVAILABLE|UNAVAILABLE|RECOVERING|RETIRED
SD-091-LIFECYCLE,OBJ-091,执行批次,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,COMPLETED,CREATED|PREPARING|RUNNING|PASSED|FAILED|SKIPPED|NOT_EXECUTED|CANCELED|ABORTED|TIMED_OUT|EXCEPTION|COMPLETED
SD-092-LIFECYCLE,OBJ-092,用例步骤,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-093-LIFECYCLE,OBJ-093,用例套件项,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-094-LIFECYCLE,OBJ-094,执行上下文,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-095-LIFECYCLE,OBJ-095,浏览器会话,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,REGISTERED,RETIRED,REGISTERED|AVAILABLE|UNAVAILABLE|RECOVERING|RETIRED
SD-096-LIFECYCLE,OBJ-096,项目执行配置,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-EX-001,OBJ-052,Runner,registration_state,registration_state,DOMAIN_AGGREGATE,UNREGISTERED,,UNREGISTERED|REGISTERED|DEREGISTERED
SD-EX-002,OBJ-052,Runner,authentication_state,authentication_state,DOMAIN_AGGREGATE,UNAUTHENTICATED,,UNAUTHENTICATED|AUTHENTICATED|REVOKED
SD-EX-003,OBJ-052,Runner,connection_state,connection_state,DOMAIN_AGGREGATE,ONLINE,,ONLINE|OFFLINE|DISCONNECTED
SD-EX-004,OBJ-052,Runner,health_state,health_state,DOMAIN_AGGREGATE,HEALTHY,,HEALTHY|DEGRADED|UNHEALTHY
SD-EX-005,OBJ-052,Runner,enablement_state,enablement_state,DOMAIN_AGGREGATE,ENABLED,,ENABLED|DISABLED|DRAINING
SD-EX-006,OBJ-052,Runner,binding_state,binding_state,DOMAIN_AGGREGATE,UNBOUND,,UNBOUND|BOUND
SD-EX-007,OBJ-052,Runner,scheduling_state,scheduling_state,DOMAIN_AGGREGATE,IDLE,,IDLE|RESERVED|RUNNING|DRAINING
SD-EX-008,OBJ-052,Runner,resource_state,resource_state,DOMAIN_AGGREGATE,AVAILABLE,,AVAILABLE|PARTIALLY_ALLOCATED|FULLY_ALLOCATED|EXHAUSTED
SD-EX-009,OBJ-035,执行任务,task_state,task_state,DOMAIN_AGGREGATE,CREATED,,CREATED|WAITING_RESOURCE|RUNNING|RETRYING|COMPLETED|CANCELED|ABORTED|EXCEPTION
SD-EX-010,OBJ-035,执行任务,final_result,final_result,DOMAIN_AGGREGATE,UNKNOWN,,PASSED|FAILED|CANCELED|ABORTED|PARTIAL|UNKNOWN
SD-EX-011,OBJ-067,测试报告,report_state,report_state,DOMAIN_AGGREGATE,PENDING,,PENDING|GENERATING|GENERATED|PARTIAL|FAILED|ARCHIVED
SD-EX-012,OBJ-068,测试制品,upload_state,upload_state,DOMAIN_AGGREGATE,PENDING,,PENDING|UPLOADING|STORED|FAILED
SD-EX-013,OBJ-068,测试制品,retention_state,retention_state,DOMAIN_AGGREGATE,NORMAL,,NORMAL|EXTENDED|HELD|EXPIRED
SD-EX-014,OBJ-068,测试制品,cleanup_state,cleanup_state,DOMAIN_AGGREGATE,NOT_DUE,,NOT_DUE|PENDING|CLEANED|FAILED
SD-EX-015,OBJ-009,环境,enablement_state,enablement_state,DOMAIN_AGGREGATE,ENABLED,,ENABLED|DISABLED
SD-EX-016,OBJ-009,环境,accessibility_state,accessibility_state,DOMAIN_AGGREGATE,UNKNOWN,,UNKNOWN|REACHABLE|UNREACHABLE
SD-EX-017,OBJ-013,测试账号,credential_state,credential_state,DOMAIN_AGGREGATE,VALID,,VALID|EXPIRING|EXPIRED|REVOKED
R3-LS-001,OBJ-030,人工录制任务,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|WAITING_RUNNER|PREPARING|WAITING_USER|RUNNING|PAUSED|DISCONNECTED|RECOVERABLE|RECOVERING|ENDED|PENDING_CONVERSION|PENDING_CONFIRMATION|COMPLETED|CANCELED|ABORTED|RECOVERY_FAILED|ARCHIVED
R3-LS-002,OBJ-031,人工录制会话,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|WAITING_RUNNER|PREPARING|WAITING_USER|RUNNING|PAUSED|DISCONNECTED|RECOVERABLE|RECOVERING|ENDED|PENDING_CONVERSION|PENDING_CONFIRMATION|COMPLETED|CANCELED|ABORTED|RECOVERY_FAILED|ARCHIVED
R3-LS-003,OBJ-036,执行尝试,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,COMPLETED,CREATED|PREPARING|RUNNING|PASSED|FAILED|SKIPPED|NOT_EXECUTED|CANCELED|ABORTED|TIMED_OUT|EXCEPTION|COMPLETED
