acceptance_id,requirement_ids,invariant_id,rule_id,test_id,priority,status,evidence_status,evidence_spec_id,action,expected_description
ACC-R3-0011,USR-SCN-013,,BR-ACCOUNT-0011,CT-R3-0011,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0011,加密保存凭证,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""动作“加密保存凭证”完成并形成可追溯结果。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0012,USR-SCN-013,,BR-ACCOUNT-0012,CT-R3-0012,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0012,建立真实身份或identity_key,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""动作“建立真实身份或identity_key”完成并形成可追溯结果。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0013,USR-SCN-013,,BR-ACCOUNT-0013,CT-R3-0013,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0013,执行登录诊断形成PASS资格,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""动作“执行登录诊断形成PASS资格”完成并形成可追溯结果。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0014,USR-SCN-013,,BR-ACCOUNT-0014,CT-R3-0014,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0014,发布账号映射,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""动作“发布账号映射”完成并形成可追溯结果。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0015,USR-SCN-013,,BR-ACCOUNT-0015,CT-R3-0015,P2,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0015,发起配置测试账号,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""ROLE-PROJECT-FUNCTION-ADMIN发起“配置测试账号”前必须具备对应菜单、操作或服务授权；系统主体只按自身服务身份执行；越权时拒绝且不产生业务写入。"", ""failure_description"": ""返回无权限或超范围结果，业务副作用为零。""}"
ACC-R3-0016,USR-SCN-013,,BR-ACCOUNT-0016,CT-R3-0016,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0016,发起配置测试账号,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置测试账号”中，前置条件必须满足：项目、环境和终端有效。"", ""failure_description"": ""前置条件不满足时拒绝进入主流程且业务副作用为零。""}"
ACC-R3-0017,USR-SCN-013,,BR-ACCOUNT-0017,CT-R3-0017,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0017,发起配置测试账号,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置测试账号”中，前置条件必须满足：具备账号和凭证权限。"", ""failure_description"": ""前置条件不满足时拒绝进入主流程且业务副作用为零。""}"
ACC-R3-0018,USR-SCN-013,,BR-ACCOUNT-0018,CT-R3-0018,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0018,修复前置原因后使用幂等命令重试；不得改写已提交历史。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""修复前置原因后使用幂等命令重试；不得改写已提交历史。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0019,USR-SCN-013,,BR-ACCOUNT-0019,CT-R3-0019,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0019,受控解锁、重新诊断或原子切换映射,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置测试账号”中，恢复必须满足：受控解锁、重新诊断或原子切换映射。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0020,USR-SCN-013|USR-SCN-053|USR-SCN-085,,BR-ACCOUNT-0020,CT-R3-0020,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0020,执行规则对应动作,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""平台存储/审计：REQUIRED；predicate=TRUE; 平台存储/审计不可用时不得执行对应业务副作用；进入明确的PRESTART_BLOCKED、WAITING_RESOURCE或场景失败结果，并记录资源原因。"", ""failure_description"": ""资源条件不满足时不得执行对应业务副作用；进入明确等待、阻断或失败结果。""}"
ACC-R3-0021,USR-SCN-013,,BR-ACCOUNT-0021,CT-R3-0021,P4,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0021,发起配置测试账号,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""账号业务状态: DRAFT/ENABLED/DISABLED/ARCHIVED"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0022,USR-SCN-013,,BR-ACCOUNT-0022,CT-R3-0022,P4,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0022,发起配置测试账号,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""安全状态: NORMAL↔LOCKED"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0023,USR-SCN-013,,BR-ACCOUNT-0023,CT-R3-0023,P4,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0023,发起配置测试账号,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""诊断资格: 未通过→PASS"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0024,USR-SCN-013,,BR-ACCOUNT-0024,CT-R3-0024,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0024,发起配置测试账号,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""账号唯一、凭证加密、诊断通过并可生成正式执行快照"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0025,USR-SCN-013,,BR-ACCOUNT-0025,CT-R3-0025,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0025,先执行场景门禁，再进入首个业务副作用。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""当“发起配置测试账号”发生时，ROLE-PROJECT-FUNCTION-ADMIN可以发起“配置测试账号”；发起后必须先完成本场景前置、权限、范围、资源和并发门禁。"", ""failure_description"": ""门禁不通过时不得产生业务副作用。""}"
ACC-R3-0026,USR-SCN-014,,BR-ACCOUNT-0026,CT-R3-0026,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0026,平台本地准备和Runner UI数据操作按不同任务类型执行,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""动作“平台本地准备和Runner UI数据操作按不同任务类型执行”完成并形成可追溯结果。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0027,USR-SCN-014,,BR-ACCOUNT-0027,CT-R3-0027,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0027,发起配置测试数据,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""产生并关联业务审计记录"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0028,USR-SCN-014,,BR-ACCOUNT-0028,CT-R3-0028,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0028,记录“配置测试数据”的发起主体、参与主体、对象ID、权限与数据范围判定、状态前后值、结果/原因码和时间。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""记录“配置测试数据”的发起主体、参与主体、对象ID、权限与数据范围判定、状态前后值、结果/原因码和时间。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0029,USR-SCN-014,,BR-ACCOUNT-0029,CT-R3-0029,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0029,本地状态变化、不可变事件和审计在同一原子提交边界内完成；提交前审计失败则不提交或回滚本地变化。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置测试数据”中，审计必须满足：本地状态变化、不可变事件和审计在同一原子提交边界内完成；提交前审计失败则不提交或回滚本地变化。。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0030,USR-SCN-014,,BR-ACCOUNT-0030,CT-R3-0030,P5,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0030,发起配置测试数据,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置测试数据”中，并发校验必须满足：资源分配唯一、租约化并按项目隔离。"", ""failure_description"": ""并发门禁不通过时按规则等待、拒绝或返回既有幂等结果。""}"
ACC-R3-0031,USR-SCN-014,,BR-ACCOUNT-0031,CT-R3-0031,P2,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0031,发起配置测试数据,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""“配置测试数据”的读取、写入和历史查询仅作用于明确授权项目及active_scope/history_read_scope；敏感数据另行校验独立权限。"", ""failure_description"": ""超出数据范围时拒绝操作并记录审计。""}"
ACC-R3-0032,USR-SCN-014,,BR-ACCOUNT-0032,CT-R3-0032,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0032,发起配置测试数据,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""数据失效、资源不足、跨项目使用或敏感变量写入日志/报告时拒绝"", ""failure_description"": ""数据失效、资源不足、跨项目使用或敏感变量写入日志/报告时拒绝""}"
ACC-R3-0033,USR-SCN-014,,BR-ACCOUNT-0033,CT-R3-0033,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0033,发起配置测试数据,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""任一前置、权限、数据范围、并发或明确资源条件不满足，或未进入声明状态、产生越权/重复副作用、证据未密封、审计缺失时失败。"", ""failure_description"": ""任一前置、权限、数据范围、并发或明确资源条件不满足，或未进入声明状态、产生越权/重复副作用、证据未密封、审计缺失时失败。""}"
ACC-R3-0034,USR-SCN-014,,BR-ACCOUNT-0034,CT-R3-0034,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0034,发起配置测试数据,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置测试数据”中，失败判定必须满足：事务/补偿策略：LOCAL_TRANSACTION。。"", ""failure_description"": ""事务/补偿策略：LOCAL_TRANSACTION。""}"
ACC-R3-0035,USR-SCN-014,,BR-ACCOUNT-0035,CT-R3-0035,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0035,定义数据类型和Schema,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""动作“定义数据类型和Schema”完成并形成可追溯结果。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0036,USR-SCN-014,,BR-ACCOUNT-0036,CT-R3-0036,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0036,创建数据版本或资源池修订,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""动作“创建数据版本或资源池修订”完成并形成可追溯结果。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0037,USR-SCN-014,,BR-ACCOUNT-0037,CT-R3-0037,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0037,按独立发布权限发布,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""动作“按独立发布权限发布”完成并形成可追溯结果。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0038,USR-SCN-014,,BR-ACCOUNT-0038,CT-R3-0038,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0038,任务创建时分配并固化引用,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""动作“任务创建时分配并固化引用”完成并形成可追溯结果。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0039,USR-SCN-014,,BR-ACCOUNT-0039,CT-R3-0039,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0039,执行后按策略释放或回收,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""动作“执行后按策略释放或回收”完成并形成可追溯结果。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0040,USR-SCN-014,,BR-ACCOUNT-0040,CT-R3-0040,P2,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0040,发起配置测试数据,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""ROLE-PROJECT-FUNCTION-ADMIN发起“配置测试数据”前必须具备对应菜单、操作或服务授权；系统主体只按自身服务身份执行；越权时拒绝且不产生业务写入。"", ""failure_description"": ""返回无权限或超范围结果，业务副作用为零。""}"
ACC-R3-0041,USR-SCN-014,,BR-ACCOUNT-0041,CT-R3-0041,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0041,发起配置测试数据,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""发起主体已登录并具备对应菜单、操作和数据范围权限"", ""failure_description"": ""前置条件不满足时拒绝进入主流程且业务副作用为零。""}"
ACC-R3-0042,USR-SCN-014,,BR-ACCOUNT-0042,CT-R3-0042,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0042,发起配置测试数据,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""相关项目及依赖对象处于允许状态"", ""failure_description"": ""前置条件不满足时拒绝进入主流程且业务副作用为零。""}"
ACC-R3-0043,USR-SCN-014,,BR-ACCOUNT-0043,CT-R3-0043,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0043,修复前置原因后使用幂等命令重试；不得改写已提交历史。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""修复前置原因后使用幂等命令重试；不得改写已提交历史。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0044,USR-SCN-014,,BR-ACCOUNT-0044,CT-R3-0044,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0044,重新准备或分配，按恢复规则回收失效资源,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""重新准备或分配，按恢复规则回收失效资源"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0045,USR-SCN-014,,BR-ACCOUNT-0045,CT-R3-0045,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0045,执行规则对应动作,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""平台存储/审计：REQUIRED；predicate=TRUE; 平台存储/审计不可用时不得执行对应业务副作用；进入明确的PRESTART_BLOCKED、WAITING_RESOURCE或场景失败结果，并记录资源原因。"", ""failure_description"": ""资源条件不满足时不得执行对应业务副作用；进入明确等待、阻断或失败结果。""}"
ACC-R3-0046,USR-SCN-014,,BR-ACCOUNT-0046,CT-R3-0046,P4,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0046,发起配置测试数据,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""数据版本: DRAFT→PUBLISHED→RETIRED"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0047,USR-SCN-014,,BR-ACCOUNT-0047,CT-R3-0047,P4,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0047,发起配置测试数据,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""分配: AVAILABLE→ALLOCATED→RELEASED"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0048,USR-SCN-014,,BR-ACCOUNT-0048,CT-R3-0048,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0048,发起配置测试数据,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""任务获得可追溯、隔离且未泄露敏感字段的数据"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0049,USR-SCN-014,,BR-ACCOUNT-0049,CT-R3-0049,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0049,先执行场景门禁，再进入首个业务副作用。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""当“发起配置测试数据”发生时，ROLE-PROJECT-FUNCTION-ADMIN可以发起“配置测试数据”；发起后必须先完成本场景前置、权限、范围、资源和并发门禁。"", ""failure_description"": ""门禁不通过时不得产生业务副作用。""}"
ACC-R3-0050,,INV-BR-AI-0001,BR-AI-0001,CT-R3-0050,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0050,结构转换不打开浏览器、不占用Runner浏览器资源。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""结构转换不打开浏览器、不占用Runner浏览器资源。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0051,,INV-BR-AI-0002,BR-AI-0002,CT-R3-0051,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0051,区别于页面探索和正式执行。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""区别于页面探索和正式执行。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0052,,INV-BR-AI-0003,BR-AI-0003,CT-R3-0052,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0052,不直接推进正式执行业务终态。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""不直接推进正式执行业务终态。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0053,,INV-BR-AI-0004,BR-AI-0004,CT-R3-0053,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0053,人工录制独立于AI探索和正式执行；不强制绑定测试账号、账号映射或SSO身份。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""人工录制独立于AI探索和正式执行；不强制绑定测试账号、账号映射或SSO身份。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0054,USR-SCN-070,,BR-AI-0005,CT-R3-0054,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0054,项目可配置偏好，但不得覆盖安全禁止和平台路由边界,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""动作“项目可配置偏好，但不得覆盖安全禁止和平台路由边界”完成并形成可追溯结果。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0055,USR-SCN-070,,BR-AI-0006,CT-R3-0055,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0055,发起配置和启用AI模型,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""产生并关联业务审计记录"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0056,USR-SCN-070,,BR-AI-0007,CT-R3-0056,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0056,记录“配置和启用AI模型”的发起主体、参与主体、对象ID、权限与数据范围判定、状态前后值、结果/原因码和时间。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""记录“配置和启用AI模型”的发起主体、参与主体、对象ID、权限与数据范围判定、状态前后值、结果/原因码和时间。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0057,USR-SCN-070,,BR-AI-0008,CT-R3-0057,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0057,本地状态变化、不可变事件和审计在同一原子提交边界内完成；提交前审计失败则不提交或回滚本地变化。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置和启用AI模型”中，审计必须满足：本地状态变化、不可变事件和审计在同一原子提交边界内完成；提交前审计失败则不提交或回滚本地变化。。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0058,USR-SCN-070,,BR-AI-0009,CT-R3-0058,P5,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0058,发起配置和启用AI模型,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置和启用AI模型”中，并发校验必须满足：模型版本与路由指针CAS；调用固化配置快照。"", ""failure_description"": ""并发门禁不通过时按规则等待、拒绝或返回既有幂等结果。""}"
ACC-R3-0059,USR-SCN-070,,BR-AI-0010,CT-R3-0059,P2,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0059,发起配置和启用AI模型,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置和启用AI模型”中，数据范围必须满足：平台模型技术对象属于平台级模型配置范围；项目模型偏好只作用于明确授权项目。模型管理员的平台配置权限不自动授予项目业务内容访问。。"", ""failure_description"": ""超出数据范围时拒绝操作并记录审计。""}"
ACC-R3-0060,USR-SCN-070,,BR-AI-0011,CT-R3-0060,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0060,发起配置和启用AI模型,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置和启用AI模型”中，异常流程必须满足：凭证无效、健康失败、审核职责冲突或越权项目内容访问时拒绝。"", ""failure_description"": ""凭证无效、健康失败、审核职责冲突或越权项目内容访问时拒绝""}"
ACC-R3-0061,USR-SCN-070,,BR-AI-0012,CT-R3-0061,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0061,发起配置和启用AI模型,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""任一前置、权限、数据范围、并发或明确资源条件不满足，或未进入声明状态、产生越权/重复副作用、证据未密封、审计缺失时失败。"", ""failure_description"": ""任一前置、权限、数据范围、并发或明确资源条件不满足，或未进入声明状态、产生越权/重复副作用、证据未密封、审计缺失时失败。""}"
ACC-R3-0062,USR-SCN-070,,BR-AI-0013,CT-R3-0062,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0062,发起配置和启用AI模型,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置和启用AI模型”中，失败判定必须满足：事务/补偿策略：LOCAL_TRANSACTION。。"", ""failure_description"": ""事务/补偿策略：LOCAL_TRANSACTION。""}"
