mapping_id,role_id,permission_id,permission_code,decision,data_scope,conditions
RPM-R3-0012,ROLE-SUPER-ADMIN,TERM-PER-012,BUSINESS_TERMINAL_ARCHIVE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0013,ROLE-SUPER-ADMIN,TERM-PER-013,CASE_SUITE_VIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0014,ROLE-SUPER-ADMIN,TERM-PER-014,CASE_SUITE_CREATE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0015,ROLE-SUPER-ADMIN,TERM-PER-015,CASE_SUITE_EDIT,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0016,ROLE-SUPER-ADMIN,TERM-PER-016,RUN_TASK_CREATE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0017,ROLE-SUPER-ADMIN,TERM-PER-017,RUN_TASK_CANCEL,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0018,ROLE-SUPER-ADMIN,TERM-PER-018,REPORT_VIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0019,ROLE-SUPER-ADMIN,TERM-PER-019,ARTIFACT_DOWNLOAD,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0020,ROLE-SUPER-ADMIN,TERM-PER-020,AUDIT_VIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0021,ROLE-SUPER-ADMIN,TERM-PER-021,USER_CREATE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0022,ROLE-SUPER-ADMIN,TERM-PER-022,ROLE_BIND,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0023,ROLE-SUPER-ADMIN,TERM-PER-023,PROJECT_MEMBER_MANAGE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0024,ROLE-SUPER-ADMIN,TERM-PER-024,AI_TASK_CREATE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0025,ROLE-SUPER-ADMIN,TERM-PER-025,MANUAL_RECORDING_CREATE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0026,ROLE-SUPER-ADMIN,TERM-PER-026,CONTROL_SELF,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0027,ROLE-SUPER-ADMIN,TERM-PER-027,PROJECT_OWNER_ELIGIBLE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0028,ROLE-SUPER-ADMIN,TERM-PER-028,NATURAL_CASE_CREATE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0029,ROLE-SUPER-ADMIN,TERM-PER-029,MANUAL_RECORDING_VIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0030,ROLE-SUPER-ADMIN,TERM-PER-030,RUNNER_REGISTER,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0031,ROLE-SUPER-ADMIN,TERM-PER-031,RUNNER_BIND,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0032,ROLE-SUPER-ADMIN,TERM-PER-032,MODEL_CONFIGURATION_MANAGE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0033,ROLE-SUPER-ADMIN,TERM-PER-033,MODEL_VERSION_REVIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0034,ROLE-SUPER-ADMIN,TERM-PER-034,CROSS_PROJECT_AUTHORIZATION_MANAGE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0035,ROLE-SUPER-ADMIN,TERM-PER-035,CROSS_PROJECT_AUTHORIZATION_GRANT_ALL,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,强制二次确认、填写原因、写入不可变审计；不得向其他主体分配SUPER_ADMIN；仍执行敏感数据和对象状态校验
RPM-R3-0036,ROLE-SUPER-ADMIN,TERM-PER-036,TOOL_INTEGRATION_INCIDENT_MANAGE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0037,ROLE-SUPER-ADMIN,TERM-PER-037,TECHNICAL_ALERT_ENDPOINT_MANAGE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0038,ROLE-SUPER-ADMIN,TERM-PER-038,VERSION_REVIEW_VIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,提交人不得批准本人提交；高风险操作必须审计
RPM-R3-0039,ROLE-SUPER-ADMIN,TERM-PER-039,TEST_REPORT_VIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0040,ROLE-SUPER-ADMIN,TERM-PER-040,TEST_ARTIFACT_VIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0041,ROLE-SUPER-ADMIN,TERM-PER-041,REPORT_SHARE_VIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0042,ROLE-SUPER-ADMIN,TERM-PER-042,MANUAL_RECORDING_TASK_VIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0043,ROLE-SUPER-ADMIN,PDBR-PER-001,REPORT_EXPORT,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0044,ROLE-SUPER-ADMIN,PDBR-PER-002,REPORT_SHARE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0045,ROLE-SUPER-ADMIN,PDBR-PER-003,SENSITIVE_ARTIFACT_VIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0046,ROLE-SUPER-ADMIN,PDBR-PER-004,VERSION_REVIEW_SUBMIT,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,提交人不得批准本人提交；高风险操作必须审计
RPM-R3-0047,ROLE-SUPER-ADMIN,PDBR-PER-005,VERSION_REVIEW_APPROVE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,提交人不得批准本人提交；高风险操作必须审计
RPM-R3-0048,ROLE-SUPER-ADMIN,PDBR-PER-006,VERSION_REVIEW_REJECT,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,提交人不得批准本人提交；高风险操作必须审计
RPM-R3-0049,ROLE-SUPER-ADMIN,PDBR-PER-007,VERSION_PUBLISH,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,提交人不得批准本人提交；高风险操作必须审计
RPM-R3-0050,ROLE-SUPER-ADMIN,PDBR-PER-008,VERSION_REVIEW_WITHDRAW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,提交人不得批准本人提交；高风险操作必须审计
RPM-R3-0051,ROLE-PLATFORM-ADMIN,TERM-PER-001,PROJECT_VIEW,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0052,ROLE-PLATFORM-ADMIN,TERM-PER-002,PROJECT_CREATE,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0053,ROLE-PLATFORM-ADMIN,TERM-PER-003,PROJECT_EDIT,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0054,ROLE-PLATFORM-ADMIN,TERM-PER-004,PROJECT_ARCHIVE,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0055,ROLE-PLATFORM-ADMIN,TERM-PER-005,BUSINESS_MODULE_VIEW,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0056,ROLE-PLATFORM-ADMIN,TERM-PER-006,BUSINESS_MODULE_CREATE,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0057,ROLE-PLATFORM-ADMIN,TERM-PER-007,BUSINESS_MODULE_EDIT,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0058,ROLE-PLATFORM-ADMIN,TERM-PER-008,BUSINESS_MODULE_ARCHIVE,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0059,ROLE-PLATFORM-ADMIN,TERM-PER-009,BUSINESS_TERMINAL_VIEW,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0060,ROLE-PLATFORM-ADMIN,TERM-PER-010,BUSINESS_TERMINAL_CREATE,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0061,ROLE-PLATFORM-ADMIN,TERM-PER-011,BUSINESS_TERMINAL_EDIT,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0062,ROLE-PLATFORM-ADMIN,TERM-PER-012,BUSINESS_TERMINAL_ARCHIVE,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0063,ROLE-PLATFORM-ADMIN,TERM-PER-013,CASE_SUITE_VIEW,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0064,ROLE-PLATFORM-ADMIN,TERM-PER-014,CASE_SUITE_CREATE,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0065,ROLE-PLATFORM-ADMIN,TERM-PER-015,CASE_SUITE_EDIT,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0066,ROLE-PLATFORM-ADMIN,TERM-PER-016,RUN_TASK_CREATE,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0067,ROLE-PLATFORM-ADMIN,TERM-PER-017,RUN_TASK_CANCEL,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0068,ROLE-PLATFORM-ADMIN,TERM-PER-018,REPORT_VIEW,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0069,ROLE-PLATFORM-ADMIN,TERM-PER-019,ARTIFACT_DOWNLOAD,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0070,ROLE-PLATFORM-ADMIN,TERM-PER-020,AUDIT_VIEW,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0071,ROLE-PLATFORM-ADMIN,TERM-PER-021,USER_CREATE,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0072,ROLE-PLATFORM-ADMIN,TERM-PER-022,ROLE_BIND,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0073,ROLE-PLATFORM-ADMIN,TERM-PER-023,PROJECT_MEMBER_MANAGE,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0074,ROLE-PLATFORM-ADMIN,TERM-PER-024,AI_TASK_CREATE,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0075,ROLE-PLATFORM-ADMIN,TERM-PER-025,MANUAL_RECORDING_CREATE,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0076,ROLE-PLATFORM-ADMIN,TERM-PER-026,CONTROL_SELF,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0077,ROLE-PLATFORM-ADMIN,TERM-PER-027,PROJECT_OWNER_ELIGIBLE,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0078,ROLE-PLATFORM-ADMIN,TERM-PER-028,NATURAL_CASE_CREATE,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0079,ROLE-PLATFORM-ADMIN,TERM-PER-029,MANUAL_RECORDING_VIEW,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0080,ROLE-PLATFORM-ADMIN,TERM-PER-030,RUNNER_REGISTER,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0081,ROLE-PLATFORM-ADMIN,TERM-PER-031,RUNNER_BIND,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0082,ROLE-PLATFORM-ADMIN,TERM-PER-032,MODEL_CONFIGURATION_MANAGE,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0083,ROLE-PLATFORM-ADMIN,TERM-PER-033,MODEL_VERSION_REVIEW,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0084,ROLE-PLATFORM-ADMIN,TERM-PER-034,CROSS_PROJECT_AUTHORIZATION_MANAGE,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0085,ROLE-PLATFORM-ADMIN,TERM-PER-035,CROSS_PROJECT_AUTHORIZATION_GRANT_ALL,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0086,ROLE-PLATFORM-ADMIN,TERM-PER-036,TOOL_INTEGRATION_INCIDENT_MANAGE,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0087,ROLE-PLATFORM-ADMIN,TERM-PER-037,TECHNICAL_ALERT_ENDPOINT_MANAGE,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0088,ROLE-PLATFORM-ADMIN,TERM-PER-038,VERSION_REVIEW_VIEW,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,提交人不得批准本人提交；高风险操作必须审计
RPM-R3-0089,ROLE-PLATFORM-ADMIN,TERM-PER-039,TEST_REPORT_VIEW,ALLOWED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0090,ROLE-PLATFORM-ADMIN,TERM-PER-040,TEST_ARTIFACT_VIEW,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0091,ROLE-PLATFORM-ADMIN,TERM-PER-041,REPORT_SHARE_VIEW,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0092,ROLE-PLATFORM-ADMIN,TERM-PER-042,MANUAL_RECORDING_TASK_VIEW,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0093,ROLE-PLATFORM-ADMIN,PDBR-PER-001,REPORT_EXPORT,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0094,ROLE-PLATFORM-ADMIN,PDBR-PER-002,REPORT_SHARE,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0095,ROLE-PLATFORM-ADMIN,PDBR-PER-003,SENSITIVE_ARTIFACT_VIEW,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0096,ROLE-PLATFORM-ADMIN,PDBR-PER-004,VERSION_REVIEW_SUBMIT,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,提交人不得批准本人提交；高风险操作必须审计
RPM-R3-0097,ROLE-PLATFORM-ADMIN,PDBR-PER-005,VERSION_REVIEW_APPROVE,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,提交人不得批准本人提交；高风险操作必须审计
RPM-R3-0098,ROLE-PLATFORM-ADMIN,PDBR-PER-006,VERSION_REVIEW_REJECT,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,提交人不得批准本人提交；高风险操作必须审计
RPM-R3-0099,ROLE-PLATFORM-ADMIN,PDBR-PER-007,VERSION_PUBLISH,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,提交人不得批准本人提交；高风险操作必须审计
RPM-R3-0100,ROLE-PLATFORM-ADMIN,PDBR-PER-008,VERSION_REVIEW_WITHDRAW,DENIED,平台技术数据；项目业务数据按明确项目ID或附加CROSS_PROJECT_AUTHORIZATION_GRANT_ALL权限获得,提交人不得批准本人提交；高风险操作必须审计
RPM-R3-0101,ROLE-PROJECT-FUNCTION-ADMIN,TERM-PER-001,PROJECT_VIEW,ALLOWED,指定项目及七个项目数据子范围的active/history范围,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0102,ROLE-PROJECT-FUNCTION-ADMIN,TERM-PER-002,PROJECT_CREATE,DENIED,指定项目及七个项目数据子范围的active/history范围,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0103,ROLE-PROJECT-FUNCTION-ADMIN,TERM-PER-003,PROJECT_EDIT,ALLOWED,指定项目及七个项目数据子范围的active/history范围,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0104,ROLE-PROJECT-FUNCTION-ADMIN,TERM-PER-004,PROJECT_ARCHIVE,ALLOWED,指定项目及七个项目数据子范围的active/history范围,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0105,ROLE-PROJECT-FUNCTION-ADMIN,TERM-PER-005,BUSINESS_MODULE_VIEW,ALLOWED,指定项目及七个项目数据子范围的active/history范围,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0106,ROLE-PROJECT-FUNCTION-ADMIN,TERM-PER-006,BUSINESS_MODULE_CREATE,ALLOWED,指定项目及七个项目数据子范围的active/history范围,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0107,ROLE-PROJECT-FUNCTION-ADMIN,TERM-PER-007,BUSINESS_MODULE_EDIT,ALLOWED,指定项目及七个项目数据子范围的active/history范围,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0108,ROLE-PROJECT-FUNCTION-ADMIN,TERM-PER-008,BUSINESS_MODULE_ARCHIVE,ALLOWED,指定项目及七个项目数据子范围的active/history范围,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0109,ROLE-PROJECT-FUNCTION-ADMIN,TERM-PER-009,BUSINESS_TERMINAL_VIEW,ALLOWED,指定项目及七个项目数据子范围的active/history范围,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0110,ROLE-PROJECT-FUNCTION-ADMIN,TERM-PER-010,BUSINESS_TERMINAL_CREATE,ALLOWED,指定项目及七个项目数据子范围的active/history范围,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0111,ROLE-PROJECT-FUNCTION-ADMIN,TERM-PER-011,BUSINESS_TERMINAL_EDIT,ALLOWED,指定项目及七个项目数据子范围的active/history范围,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0112,ROLE-PROJECT-FUNCTION-ADMIN,TERM-PER-012,BUSINESS_TERMINAL_ARCHIVE,ALLOWED,指定项目及七个项目数据子范围的active/history范围,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0113,ROLE-PROJECT-FUNCTION-ADMIN,TERM-PER-013,CASE_SUITE_VIEW,ALLOWED,指定项目及七个项目数据子范围的active/history范围,仍受数据范围、对象状态和接口鉴权约束
