object_id,name,object_type,aggregate_id,persistence_strategy,table_name,primary_key,lifecycle_id,state_fields
OBJ-031,人工录制会话,EXECUTION_ENTITY,AGG-013,TABLE,atp_manual_recording_session,manual_recording_session_id,LC-031,status|lifecycle_status
OBJ-032,录制控制租约,RELATIONSHIP_ENTITY,AGG-013,TABLE,atp_manual_recording_control_lease,manual_recording_control_lease_id,LC-032,lifecycle_status
OBJ-033,录制证据包,ARTIFACT_ENTITY,AGG-013,TABLE,atp_recording_evidence_bundle,recording_evidence_bundle_id,LC-033,lifecycle_status
OBJ-034,占位符,VALUE_OBJECT,AGG-013,EMBEDDED_VALUE,,,LC-034,lifecycle_status
OBJ-035,执行任务,AGGREGATE_ROOT,AGG-014,TABLE,atp_run_task,run_task_id,LC-035,lifecycle_status|task_state|final_result
OBJ-036,执行尝试,EXECUTION_ENTITY,AGG-014,TABLE,atp_execution_attempt,execution_attempt_id,LC-036,execution_status|finalization_status|lifecycle_status
OBJ-037,用例尝试,EXECUTION_ENTITY,AGG-014,TABLE,atp_case_attempt,case_attempt_id,LC-037,result_status|lifecycle_status
OBJ-038,执行计划,AGGREGATE_ROOT,AGG-015,TABLE,atp_execution_plan,execution_plan_id,LC-038,lifecycle_status
OBJ-039,执行计划修订,VERSION_ENTITY,AGG-015,TABLE,atp_execution_plan_revision,execution_plan_revision_id,LC-039,lifecycle_status
OBJ-040,触发规则,CONFIGURATION_ENTITY,AGG-015,TABLE,atp_trigger_rule,trigger_rule_id,LC-040,lifecycle_status
OBJ-041,派发决策,DERIVED_OBJECT,AGG-014,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-041,lifecycle_status
OBJ-042,执行锁,RELATIONSHIP_ENTITY,AGG-016,TABLE,atp_execution_lock,execution_lock_id,LC-042,lifecycle_status
OBJ-043,租约,AGGREGATE_ROOT,AGG-016,TABLE,atp_lease,lease_id,LC-043,status|lifecycle_status
OBJ-044,隔离令牌,VALUE_OBJECT,AGG-016,EMBEDDED_VALUE,,,LC-044,lifecycle_status
OBJ-045,重试策略,DOMAIN_POLICY,,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-045,lifecycle_status
OBJ-046,恢复动作,DOMAIN_SERVICE,,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-046,lifecycle_status
OBJ-047,自动化资产,AGGREGATE_ROOT,AGG-017,TABLE,atp_automation_asset,automation_asset_id,LC-047,lifecycle_status
OBJ-048,登录策略,CONFIGURATION_ENTITY,AGG-017,TABLE,atp_login_strategy,login_strategy_id,LC-048,lifecycle_status
OBJ-049,页面对象,CONFIGURATION_ENTITY,AGG-017,TABLE,atp_page_object,page_object_id,LC-049,lifecycle_status
OBJ-050,动作资产,CONFIGURATION_ENTITY,AGG-017,TABLE,atp_action_asset,action_asset_id,LC-050,lifecycle_status
OBJ-051,断言资产,CONFIGURATION_ENTITY,AGG-017,TABLE,atp_assertion_asset,assertion_asset_id,LC-051,lifecycle_status
OBJ-052,Runner,AGGREGATE_ROOT,AGG-018,TABLE,atp_runner,runner_id,LC-052,health_status|scheduling_status|registration_state|authentication_state|connection_state|health_state|enablement_state|binding_state|scheduling_state|resource_state|lifecycle_status
OBJ-053,Runner能力,CONFIGURATION_ENTITY,AGG-018,TABLE,atp_runner_capability,runner_capability_id,LC-053,lifecycle_status
OBJ-054,Runner项目绑定,RELATIONSHIP_ENTITY,AGG-018,TABLE,atp_runner_project_binding,runner_project_binding_id,LC-054,lifecycle_status
OBJ-055,执行槽位,CONFIGURATION_ENTITY,AGG-018,TABLE,atp_execution_slot,execution_slot_id,LC-055,lifecycle_status
OBJ-056,上下文变量,AGGREGATE_MEMBER,AGG-014,TABLE,atp_context_variable,context_variable_id,LC-056,lifecycle_status
OBJ-057,模型供应商,EXTERNAL_REFERENCE,AGG-019,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-057,lifecycle_status
OBJ-058,模型配置,AGGREGATE_ROOT,AGG-019,TABLE,atp_model_config,model_config_id,LC-058,lifecycle_status
OBJ-059,Prompt修订,VERSION_ENTITY,AGG-019,TABLE,atp_prompt_revision,prompt_revision_id,LC-059,lifecycle_status
OBJ-060,AI调用,EXECUTION_ENTITY,AGG-020,TABLE,atp_ai_call,ai_call_id,LC-060,lifecycle_status
OBJ-061,AI任务,AGGREGATE_ROOT,AGG-020,TABLE,atp_ai_task,ai_task_id,LC-061,status|lifecycle_status
OBJ-062,AI结果,AGGREGATE_MEMBER,AGG-020,TABLE,atp_ai_result,ai_result_id,LC-062,status|lifecycle_status
OBJ-063,人工决定,AGGREGATE_MEMBER,AGG-020,TABLE,atp_human_decision,human_decision_id,LC-063,lifecycle_status
OBJ-064,任务结果,DERIVED_OBJECT,AGG-021,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-064,lifecycle_status
OBJ-065,用例结果,DERIVED_OBJECT,AGG-021,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-065,lifecycle_status
OBJ-066,报告生成请求,EXECUTION_ENTITY,AGG-021,TABLE,atp_test_report_generation_request,test_report_generation_request_id,LC-066,status|lifecycle_status
OBJ-067,测试报告,AGGREGATE_ROOT,AGG-021,TABLE,atp_test_report,test_report_id,LC-067,status|report_state|lifecycle_status
OBJ-068,测试制品,ARTIFACT_ENTITY,AGG-021,TABLE,atp_test_artifact,test_artifact_id,LC-068,lifecycle_status|upload_state|retention_state|cleanup_state
OBJ-069,技术告警,AGGREGATE_ROOT,AGG-022,TABLE,atp_technical_alert,technical_alert_id,LC-069,lifecycle_status
OBJ-070,集成组件,AGGREGATE_ROOT,AGG-023,TABLE,atp_integration_component,integration_component_id,LC-070,lifecycle_status
OBJ-071,Adapter,DOMAIN_SERVICE,AGG-023,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-071,lifecycle_status
OBJ-072,平台技术事件,DOMAIN_EVENT,AGG-023,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-072,lifecycle_status
OBJ-073,异常原因码,VALUE_OBJECT,,EMBEDDED_VALUE,,,LC-073,lifecycle_status
OBJ-074,Secret,EXTERNAL_REFERENCE,,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-074,lifecycle_status
OBJ-075,脱敏,DOMAIN_POLICY,,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-075,lifecycle_status
OBJ-076,系统参数,AGGREGATE_ROOT,AGG-024,TABLE,atp_system_parameter,system_parameter_id,LC-076,lifecycle_status
OBJ-077,数据字典,AGGREGATE_ROOT,AGG-025,TABLE,atp_data_dictionary,data_dictionary_id,LC-077,lifecycle_status
OBJ-078,配置快照,SNAPSHOT,AGG-014,TABLE,atp_configuration_snapshot,configuration_snapshot_id,LC-078,lifecycle_status
OBJ-079,审计日志,AGGREGATE_ROOT,AGG-026,TABLE,atp_audit_log,audit_log_id,LC-079,lifecycle_status
OBJ-080,事件链,DERIVED_OBJECT,AGG-026,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-080,lifecycle_status
OBJ-081,保留策略,AGGREGATE_ROOT,AGG-027,TABLE,atp_retention_policy,retention_policy_id,LC-081,lifecycle_status
OBJ-082,保留冻结,RELATIONSHIP_ENTITY,AGG-027,TABLE,atp_legal_hold,legal_hold_id,LC-082,lifecycle_status
OBJ-083,受控清理请求,AGGREGATE_ROOT,AGG-028,TABLE,atp_controlled_purge_request,controlled_purge_request_id,LC-083,lifecycle_status
OBJ-084,技术告警接入端点,AGGREGATE_ROOT,AGG-029,TABLE,atp_technical_alert_endpoint,technical_alert_endpoint_id,LC-084,lifecycle_status
OBJ-085,平台设计基线发布,AGGREGATE_ROOT,AGG-030,TABLE,atp_platform_design_baseline_release,platform_design_baseline_release_id,LC-085,release_status|readiness_status|lifecycle_status
OBJ-086,AI候选修订,VERSION_ENTITY,AGG-020,TABLE,atp_ai_candidate_revision,ai_candidate_revision_id,LC-086,lifecycle_status
OBJ-087,角色绑定,RELATIONSHIP_ENTITY,AGG-001,TABLE,atp_role_binding,role_binding_id,LC-087,lifecycle_status
OBJ-088,技术告警接入批次,EXECUTION_ENTITY,AGG-029,TABLE,atp_technical_alert_ingestion_batch,technical_alert_ingestion_batch_id,LC-088,lifecycle_status
OBJ-089,Runner Agent,AGGREGATE_MEMBER,AGG-018,TABLE,atp_runner_agent,runner_agent_id,LC-089,lifecycle_status
OBJ-090,Runner执行机,EXTERNAL_REFERENCE,AGG-018,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-090,lifecycle_status
OBJ-091,执行批次,EXECUTION_ENTITY,AGG-014,TABLE,atp_execution_batch,execution_batch_id,LC-091,lifecycle_status
OBJ-092,用例步骤,AGGREGATE_MEMBER,AGG-009,TABLE,atp_case_step,case_step_id,LC-092,lifecycle_status
OBJ-093,用例套件项,RELATIONSHIP_ENTITY,AGG-010,TABLE,atp_case_suite_item,case_suite_item_id,LC-093,lifecycle_status
OBJ-094,执行上下文,AGGREGATE_MEMBER,AGG-014,TABLE,atp_execution_context,execution_context_id,LC-094,lifecycle_status
OBJ-095,浏览器会话,EXTERNAL_REFERENCE,,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-095,lifecycle_status
OBJ-096,项目执行配置,CONFIGURATION_ENTITY,AGG-003,TABLE,atp_project_execution_configuration,project_execution_configuration_id,LC-096,lifecycle_status
